repo,week_unix,commits,commit_source,default_branch
omuse-geoscience/omuse,1537056000,8,git,master
omuse-geoscience/omuse,1537660800,20,git,master
omuse-geoscience/omuse,1538265600,1,git,master
omuse-geoscience/omuse,1541289600,1,git,master
omuse-geoscience/omuse,1543104000,1,git,master
omuse-geoscience/omuse,1544313600,3,git,master
omuse-geoscience/omuse,1544918400,3,git,master
omuse-geoscience/omuse,1546732800,1,git,master
omuse-geoscience/omuse,1547337600,6,git,master
omuse-geoscience/omuse,1547942400,1,git,master
omuse-geoscience/omuse,1548547200,4,git,master
omuse-geoscience/omuse,1549152000,1,git,master
omuse-geoscience/omuse,1549756800,4,git,master
omuse-geoscience/omuse,1550361600,3,git,master
omuse-geoscience/omuse,1553385600,1,git,master
omuse-geoscience/omuse,1557014400,1,git,master
omuse-geoscience/omuse,1557619200,6,git,master
omuse-geoscience/omuse,1558224000,1,git,master
omuse-geoscience/omuse,1558828800,10,git,master
omuse-geoscience/omuse,1560643200,7,git,master
omuse-geoscience/omuse,1562457600,9,git,master
omuse-geoscience/omuse,1563062400,1,git,master
omuse-geoscience/omuse,1563667200,2,git,master
omuse-geoscience/omuse,1564272000,7,git,master
omuse-geoscience/omuse,1564876800,5,git,master
omuse-geoscience/omuse,1565481600,7,git,master
omuse-geoscience/omuse,1566086400,2,git,master
omuse-geoscience/omuse,1566691200,1,git,master
omuse-geoscience/omuse,1567900800,12,git,master
omuse-geoscience/omuse,1568505600,5,git,master
omuse-geoscience/omuse,1569110400,2,git,master
omuse-geoscience/omuse,1569715200,12,git,master
omuse-geoscience/omuse,1570320000,1,git,master
omuse-geoscience/omuse,1570924800,5,git,master
omuse-geoscience/omuse,1572134400,1,git,master
omuse-geoscience/omuse,1573344000,3,git,master
omuse-geoscience/omuse,1573948800,1,git,master
omuse-geoscience/omuse,1574553600,2,git,master
omuse-geoscience/omuse,1575158400,1,git,master
omuse-geoscience/omuse,1575763200,1,git,master
omuse-geoscience/omuse,1579392000,1,git,master
omuse-geoscience/omuse,1580601600,1,git,master
omuse-geoscience/omuse,1581206400,1,git,master
omuse-geoscience/omuse,1583020800,18,git,master
omuse-geoscience/omuse,1583625600,8,git,master
omuse-geoscience/omuse,1584835200,4,git,master
omuse-geoscience/omuse,1585440000,10,git,master
omuse-geoscience/omuse,1586044800,2,git,master
omuse-geoscience/omuse,1587859200,31,git,master
omuse-geoscience/omuse,1588464000,10,git,master
omuse-geoscience/omuse,1589068800,4,git,master
omuse-geoscience/omuse,1589673600,9,git,master
omuse-geoscience/omuse,1590278400,5,git,master
omuse-geoscience/omuse,1590883200,4,git,master
omuse-geoscience/omuse,1591488000,10,git,master
omuse-geoscience/omuse,1592092800,6,git,master
omuse-geoscience/omuse,1592697600,4,git,master
omuse-geoscience/omuse,1593302400,4,git,master
omuse-geoscience/omuse,1594512000,24,git,master
omuse-geoscience/omuse,1595116800,9,git,master
